id,full_name,first_name,last_name,is_active,league
1631121,Bryce McGowens,Bryce,McGowens,True,NBA
1503,Tracy McGrady,Tracy,McGrady,False,NBA
77534,Gil McGregor,Gil,McGregor,False,NBA
1630787,Cameron McGriff,Cameron,McGriff,False,NBA
203585,Rodney McGruder,Rodney,McGruder,False,NBA
77536,Al McGuire,Al,McGuire,False,NBA
77535,Allie McGuire,Allie,McGuire,False,NBA
77537,Dick McGuire,Dick,McGuire,False,NBA
201187,Dominic McGuire,Dominic,McGuire,False,NBA
1450,Kevin McHale,Kevin,McHale,False,NBA
29,Jim McIlvaine,Jim,McIlvaine,False,NBA
976,Jeff McInnis,Jeff,McInnis,False,NBA
77540,Kenny McIntosh,Kenny,McIntosh,False,NBA
77541,Kevin McKenna,Kevin,McKenna,False,NBA
77542,Forrest McKenzie,Forrest,McKenzie,False,NBA
77543,Stan McKenzie,Stan,McKenzie,False,NBA
365,Derrick McKey,Derrick,McKey,False,NBA
243,Aaron McKie,Aaron,McKie,False,NBA
77547,Billy McKinney,Billy,McKinney,False,NBA
77545,Carlton McKinney,Carlton,McKinney,False,NBA
77546,Horace McKinney,Horace,McKinney,False,NBA
203590,Trey McKinney-Jones,Trey,McKinney-Jones,False,NBA
1628035,Alfonzo McKinnie,Alfonzo,McKinnie,False,NBA
1630605,JaQuori McLaughlin,JaQuori,McLaughlin,False,NBA
1629162,Jordan McLaughlin,Jordan,McLaughlin,True,NBA
203463,Ben McLemore,Ben,McLemore,False,NBA
77548,Mccoy McLemore,Mccoy,McLemore,False,NBA
77549,George McLeod,George,McLeod,False,NBA
2693,Keith McLeod,Keith,McLeod,False,NBA
1728,Roshown McLeod,Roshown,McLeod,False,NBA
77551,Jack McMahon,Jack,McMahon,False,NBA
203,Nate McMillan,Nate,McMillan,False,NBA
77553,Tom McMillen,Tom,McMillen,False,NBA
77554,Jim McMillian,Jim,McMillian,False,NBA
77555,Shellie McMillon,Shellie,McMillon,False,NBA
77556,Mal McMullan,Mal,McMullan,False,NBA
77557,Chet McNabb,Chet,McNabb,False,NBA
77558,Mark McNamara,Mark,McNamara,False,NBA
77559,Joe McNamee,Joe,McNamee,False,NBA
202077,Jerel McNeal,Jerel,McNeal,False,NBA
77560,Chris McNealy,Chris,McNealy,False,NBA
77562,Bob McNeill,Bob,McNeill,False,NBA
77561,Larry McNeill,Larry,McNeill,False,NBA
77563,Carl McNulty,Carl,McNulty,False,NBA
2101,Paul McPherson,Paul,McPherson,False,NBA
77565,Cozell McQueen,Cozell,McQueen,False,NBA
203895,Jordan McRae,Jordan,McRae,False,NBA
77566,Thales McReynolds,Thales,McReynolds,False,NBA
201177,Josh McRoberts,Josh,McRoberts,False,NBA
1629098,Jack McVeigh,Jack,McVeigh,True,NBA
77567,Eric McWilliams,Eric,McWilliams,False,NBA
77568,George Mearns,George,Mearns,False,NBA
2098,Slava Medvedenko,Slava,Medvedenko,False,NBA
1577,Darnell Mee,Darnell,Mee,False,NBA
201975,Jodie Meeks,Jodie,Meeks,False,NBA
77570,Cliff Meely,Cliff,Meely,False,NBA
77571,Scott Meents,Scott,Meents,False,NBA
77572,Dick Mehen,Dick,Mehen,False,NBA
77573,Don Meineke,Don,Meineke,False,NBA
